release_date,region,issue,epiweek,lag,num_ili,num_patients,num_providers,num_age_0,num_age_1,num_age_2,num_age_3,num_age_4,num_age_5,wili,ili
2013-12-31,hhs3,201352,201015,193,1007,96916,193,228.0,416.0,,236.0,81.0,46.0,1.07435462044854,1.03904412068183
2013-12-31,hhs4,201352,201015,193,2002,153461,416,841.0,753.0,,275.0,74.0,59.0,1.15590455256047,1.30456598093327
2013-12-31,hhs5,201352,201015,193,706,90357,231,239.0,247.0,,143.0,40.0,37.0,0.650239103044244,0.781345108846022
2013-12-31,hhs6,201352,201015,193,1262,80051,185,433.0,438.0,,229.0,100.0,62.0,1.48392389115292,1.57649498444741
2013-12-31,hhs7,201352,201015,193,236,27527,106,82.0,74.0,,49.0,11.0,20.0,0.863461429851082,0.857340066116903
2013-12-31,hhs8,201352,201015,193,455,59499,133,170.0,128.0,,96.0,36.0,25.0,0.681803620482339,0.764718734768652
2013-12-31,hhs9,201352,201015,193,1397,81976,227,427.0,459.0,,273.0,138.0,100.0,2.10763869463626,1.7041573143359
2013-12-31,nat,201352,201015,193,8801,749563,1831,3117.0,3110.0,,1572.0,598.0,404.0,1.17754240902,1.1741508052025
2013-12-31,hhs1,201352,201016,192,124,29528,120,37.0,62.0,,12.0,4.0,9.0,0.446048357068623,0.41994039555676
2013-12-31,hhs10,201352,201016,192,73,10430,38,31.0,29.0,,8.0,3.0,2.0,0.402770869699711,0.699904122722915
2013-12-31,hhs2,201352,201016,192,1492,113618,175,564.0,549.0,,266.0,72.0,41.0,1.06374450894729,1.31317220862891
2013-12-31,hhs3,201352,201016,192,1108,96295,189,226.0,444.0,,300.0,77.0,61.0,1.11247147971253,1.15063087387715
2013-12-31,hhs4,201352,201016,192,1875,149282,404,833.0,665.0,,243.0,74.0,60.0,1.0450716498497,1.25601211130612
2013-12-31,hhs5,201352,201016,192,563,82768,211,181.0,206.0,,113.0,33.0,30.0,0.56909325355035,0.680214575681423
2013-12-31,hhs6,201352,201016,192,1146,71493,173,421.0,443.0,,178.0,61.0,43.0,1.51426765293529,1.6029541353699
2013-12-31,hhs7,201352,201016,192,195,26761,101,50.0,76.0,,32.0,18.0,19.0,0.745363245049984,0.72867232166212
2013-12-31,hhs8,201352,201016,192,578,60825,134,220.0,165.0,,101.0,46.0,46.0,0.796174899740078,0.950267159884916
2013-12-31,hhs9,201352,201016,192,1208,78580,220,358.0,405.0,,208.0,134.0,103.0,1.93454842507115,1.53728684143548
